#,Project,Category,Description,GitHub,Status,Source
49,Wiki.js,Productivity / Collaboration,Modern open-source wiki,https://github.com/Requarks/wiki,To Review,Curated GitHub list
50,Docusaurus,Productivity / Collaboration,Documentation website generator,https://github.com/facebook/docusaurus,To Review,Curated GitHub list
51,Nextra,Productivity / Collaboration,Next.js documentation framework,https://github.com/shuding/nextra,To Review,Curated GitHub list
52,BookStack,Productivity / Collaboration,Self-hosted documentation and wiki platform,https://github.com/BookStackApp/BookStack,To Review,Curated GitHub list
53,HedgeDoc,Productivity / Collaboration,Collaborative markdown notes,https://github.com/hedgedoc/hedgedoc,To Review,Curated GitHub list
54,Logseq,Productivity / Collaboration,Local-first knowledge management,https://github.com/logseq/logseq,To Review,Curated GitHub list
55,Joplin,Developer Tools,Open-source note-taking app,https://github.com/laurent22/joplin,To Review,Curated GitHub list
56,Trilium Notes,Productivity / Collaboration,Personal knowledge base app,https://github.com/zadam/trilium,To Review,Curated GitHub list
57,Miniflux,Self-hosted / Personal,Minimalist self-hosted RSS reader,https://github.com/miniflux/v2,To Review,Curated GitHub list
58,FreshRSS,Self-hosted / Personal,Self-hosted RSS feed aggregator,https://github.com/FreshRSS/FreshRSS,To Review,Curated GitHub list
59,Wallabag,Developer Tools,Save articles to read later,https://github.com/wallabag/wallabag,To Review,Curated GitHub list
60,Linkwarden,Self-hosted / Personal,Self-hosted bookmark manager,https://github.com/linkwarden/linkwarden,To Review,Curated GitHub list
61,Shiori,Self-hosted / Personal,Simple bookmark manager,https://github.com/go-shiori/shiori,To Review,Curated GitHub list
62,Slash,Self-hosted / Personal,Open-source URL shortener and bookmarks,https://github.com/boojack/slash,To Review,Curated GitHub list
63,Dub,Data / Analytics,Open-source link management platform,https://github.com/dubinc/dub,To Review,Curated GitHub list
64,Kutt,Self-hosted / Personal,Modern URL shortener,https://github.com/thedevs-network/kutt,To Review,Curated GitHub list
65,YOURLS,Self-hosted / Personal,Self-hosted URL shortener,https://github.com/YOURLS/YOURLS,To Review,Curated GitHub list
66,Zipline,Self-hosted / Personal,Self-hosted file and image uploader,https://github.com/diced/zipline,To Review,Curated GitHub list
67,Nextcloud Server,DevOps / Infrastructure,Self-hosted cloud storage and collaboration,https://github.com/nextcloud/server,To Review,Curated GitHub list
68,OwnCloud,Self-hosted / Personal,File sync and collaboration platform,https://github.com/owncloud/core,To Review,Curated GitHub list
69,Seafile,AI / ML,High-performance file sync and sharing,https://github.com/haiwen/seafile,To Review,Curated GitHub list
70,Paperless-ngx,Self-hosted / Personal,Document management system,https://github.com/paperless-ngx/paperless-ngx,To Review,Curated GitHub list
71,Stirling PDF,Self-hosted / Personal,Self-hosted PDF tools,https://github.com/Stirling-Tools/Stirling-PDF,To Review,Curated GitHub list
72,PDF Ding,Self-hosted / Personal,"Self-hosted PDF manager, viewer, and editor",https://github.com/mrmn2/PDFDing,To Review,Curated GitHub list
73,ConvertX,Self-hosted / Personal,Self-hosted online file converter,https://github.com/C4illin/ConvertX,To Review,Curated GitHub list
74,PhotoPrism,Self-hosted / Personal,Self-hosted photo management,https://github.com/photoprism/photoprism,To Review,Curated GitHub list
75,Immich,Self-hosted / Personal,Self-hosted Google Photos alternative,https://github.com/immich-app/immich,To Review,Curated GitHub list
76,Photofield,Self-hosted / Personal,Fast self-hosted photo gallery viewer,https://github.com/SmilyOrg/photofield,To Review,Curated GitHub list
77,Jellyfin,DevOps / Infrastructure,Open-source media server,https://github.com/jellyfin/jellyfin,To Review,Curated GitHub list
78,Navidrome,DevOps / Infrastructure,Self-hosted music streaming server,https://github.com/navidrome/navidrome,To Review,Curated GitHub list
79,Mealie,Self-hosted / Personal,Recipe manager and meal planner,https://github.com/mealie-recipes/mealie,To Review,Curated GitHub list
80,Grocy,Developer Tools,Grocery and household management,https://github.com/grocy/grocy,To Review,Curated GitHub list
81,Home Assistant,Self-hosted / Personal,Open-source home automation platform,https://github.com/home-assistant/core,To Review,Curated GitHub list
82,Dashy,Data / Analytics,Self-hosted dashboard,https://github.com/Lissy93/dashy,To Review,Curated GitHub list
83,Homepage,Data / Analytics,Modern self-hosted dashboard,https://github.com/gethomepage/homepage,To Review,Curated GitHub list
84,Glance,Data / Analytics,Customizable fast self-hosted dashboard,https://github.com/glanceapp/glance,To Review,Curated GitHub list
85,Homarr,Data / Analytics,Dashboard for self-hosted services,https://github.com/ajnart/homarr,To Review,Curated GitHub list
86,Cosmos Cloud,DevOps / Infrastructure,Self-hosted server platform,https://github.com/azukaar/Cosmos-Server,To Review,Curated GitHub list
87,Coolify,Data / Analytics,Open-source Heroku and Netlify alternative,https://github.com/coollabsio/coolify,To Review,Curated GitHub list
88,Dokku,Developer Tools,Lightweight self-hosted PaaS,https://github.com/dokku/dokku,To Review,Curated GitHub list
89,CapRover,Developer Tools,Self-hosted app deployment platform,https://github.com/caprover/caprover,To Review,Curated GitHub list
90,Windmill,Developer Tools,Open-source platform for internal tools,https://github.com/windmill-labs/windmill,To Review,Curated GitHub list
91,Budibase,Design / Frontend,Open-source internal tools builder,https://github.com/Budibase/budibase,To Review,Curated GitHub list
92,ToolJet,Developer Tools,Open-source low-code internal tools,https://github.com/ToolJet/ToolJet,To Review,Curated GitHub list
93,Appsmith,Developer Tools,Open-source internal tools platform,https://github.com/appsmithorg/appsmith,To Review,Curated GitHub list
94,n8n,Developer Tools,Workflow automation,https://github.com/n8n-io/n8n,To Review,Curated GitHub list
95,Activepieces,Developer Tools,Automation platform,https://github.com/activepieces/activepieces,To Review,Curated GitHub list
96,Temporal,DevOps / Infrastructure,Workflow orchestration,https://github.com/temporalio/temporal,To Review,Curated GitHub list
97,Airbyte,AI / ML,Data integration,https://github.com/airbytehq/airbyte,To Review,Curated GitHub list
98,Meltano,Data / Analytics,Data pipelines,https://github.com/meltano/meltano,To Review,Curated GitHub list
99,dbt Core,Data / Analytics,Analytics engineering,https://github.com/dbt-labs/dbt-core,To Review,Curated GitHub list
100,Dagster,Data / Analytics,Data orchestration,https://github.com/dagster-io/dagster,To Review,Curated GitHub list
101,Apache Airflow,AI / ML,Workflow scheduling,https://github.com/apache/airflow,To Review,Curated GitHub list
102,Meilisearch,Data / Analytics,Search engine,https://github.com/meilisearch/meilisearch,To Review,Curated GitHub list
103,OpenSearch,Data / Analytics,Search and analytics,https://github.com/opensearch-project/OpenSearch,To Review,Curated GitHub list
104,Qdrant,AI / ML,Vector database,https://github.com/qdrant/qdrant,To Review,Curated GitHub list
105,Milvus,AI / ML,Vector database,https://github.com/milvus-io/milvus,To Review,Curated GitHub list
106,Chroma,AI / ML,AI vector database,https://github.com/chroma-core/chroma,To Review,Curated GitHub list
107,LangChain,AI / ML,AI app framework,https://github.com/langchain-ai/langchain,To Review,Curated GitHub list
108,LlamaIndex,AI / ML,LLM data framework,https://github.com/run-llama/llama_index,To Review,Curated GitHub list
109,Flowise,AI / ML,Visual LLM builder,https://github.com/FlowiseAI/Flowise,To Review,Curated GitHub list
110,Dify,AI / ML,LLM app platform,https://github.com/langgenius/dify,To Review,Curated GitHub list
111,Open WebUI,AI / ML,ChatGPT-like UI,https://github.com/open-webui/open-webui,To Review,Curated GitHub list
112,AnythingLLM,AI / ML,Private AI workspace,https://github.com/Mintplex-Labs/anything-llm,To Review,Curated GitHub list
113,Ollama,AI / ML,Run LLMs locally,https://github.com/ollama/ollama,To Review,Curated GitHub list
114,Jan,AI / ML,Local AI assistant,https://github.com/menloresearch/jan,To Review,Curated GitHub list
115,LocalAI,AI / ML,Local OpenAI-compatible API,https://github.com/mudler/LocalAI,To Review,Curated GitHub list
116,ComfyUI,AI / ML,AI image generation UI,https://github.com/comfyanonymous/ComfyUI,To Review,Curated GitHub list
117,InvokeAI,AI / ML,AI image generation,https://github.com/invoke-ai/InvokeAI,To Review,Curated GitHub list
118,TinaCMS,Developer Tools,Git-backed CMS,https://github.com/tinacms/tinacms,To Review,Curated GitHub list
119,Keystatic,Developer Tools,Content management for codebases,https://github.com/Thinkmill/keystatic,To Review,Curated GitHub list
120,Medusa,Developer Tools,Open-source Shopify alternative,https://github.com/medusajs/medusa,To Review,Curated GitHub list
121,Webstudio,Developer Tools,Open-source Webflow alternative,https://github.com/webstudio-is/webstudio,To Review,Curated GitHub list
122,Twenty,Business / Commerce,Open-source CRM,https://github.com/twentyhq/twenty,To Review,Curated GitHub list
123,EspoCRM,Business / Commerce,Open-source CRM platform,https://github.com/espocrm/espocrm,To Review,Curated GitHub list
124,SuiteCRM,Design / Frontend,CRM alternative to Salesforce,https://github.com/salesagility/SuiteCRM,To Review,Curated GitHub list
125,ERPNext,Business / Commerce,Open-source ERP system,https://github.com/frappe/erpnext,To Review,Curated GitHub list
126,Dolibarr,Design / Frontend,ERP and CRM suite,https://github.com/Dolibarr/dolibarr,To Review,Curated GitHub list
127,Odoo,Business / Commerce,Business apps and ERP,https://github.com/odoo/odoo,To Review,Curated GitHub list
128,Akaunting,Business / Commerce,Accounting software,https://github.com/akaunting/akaunting,To Review,Curated GitHub list
129,Firefly III,Business / Commerce,Personal finance manager,https://github.com/firefly-iii/firefly-iii,To Review,Curated GitHub list
130,Actual,Developer Tools,Local-first budgeting app,https://github.com/actualbudget/actual,To Review,Curated GitHub list
131,Maybe,Business / Commerce,Personal finance and wealth app,https://github.com/maybe-finance/maybe,To Review,Curated GitHub list
132,InvoicePlane,Business / Commerce,Invoicing app,https://github.com/InvoicePlane/InvoicePlane,To Review,Curated GitHub list
133,Crater,Business / Commerce,Invoicing and expenses app,https://github.com/crater-invoice/crater,To Review,Curated GitHub list
134,Kill Bill,Data / Analytics,Subscription billing platform,https://github.com/killbill/killbill,To Review,Curated GitHub list
135,Lago,Data / Analytics,Open-source billing platform,https://github.com/getlago/lago,To Review,Curated GitHub list
136,OpenMeter,Developer Tools,Usage metering platform,https://github.com/openmeterio/openmeter,To Review,Curated GitHub list
137,Hyperswitch,Business / Commerce,Payment switch platform,https://github.com/juspay/hyperswitch,To Review,Curated GitHub list
138,Saleor,Business / Commerce,Headless ecommerce platform,https://github.com/saleor/saleor,To Review,Curated GitHub list
139,Spree Commerce,Business / Commerce,Ecommerce platform,https://github.com/spree/spree,To Review,Curated GitHub list
140,Vendure,Business / Commerce,Headless commerce framework,https://github.com/vendure-ecommerce/vendure,To Review,Curated GitHub list
141,Bagisto,Business / Commerce,Laravel ecommerce platform,https://github.com/bagisto/bagisto,To Review,Curated GitHub list
142,Sylius,Business / Commerce,Ecommerce framework,https://github.com/Sylius/Sylius,To Review,Curated GitHub list
143,PrestaShop,Business / Commerce,Ecommerce platform,https://github.com/PrestaShop/PrestaShop,To Review,Curated GitHub list
144,OpenCart,Developer Tools,Online store platform,https://github.com/opencart/opencart,To Review,Curated GitHub list
145,Reaction Commerce,Design / Frontend,API-first commerce platform,https://github.com/reactioncommerce/reaction,To Review,Curated GitHub list
146,Solidus,Business / Commerce,Ecommerce platform,https://github.com/solidusio/solidus,To Review,Curated GitHub list
147,Sharetribe,Business / Commerce,Marketplace platform,https://github.com/sharetribe/sharetribe,To Review,Curated GitHub list
148,Cocorico,Business / Commerce,Service marketplace platform,https://github.com/Cocolabs-SAS/cocorico,To Review,Curated GitHub list
149,OpenProject,Productivity / Collaboration,Project management platform,https://github.com/opf/openproject,To Review,Curated GitHub list
150,Taiga,AI / ML,Agile project management,https://github.com/taigaio/taiga,To Review,Curated GitHub list
151,Redmine,Productivity / Collaboration,Project management and issue tracking,https://github.com/redmine/redmine,To Review,Curated GitHub list
152,Kanboard,Productivity / Collaboration,Kanban project management,https://github.com/kanboard/kanboard,To Review,Curated GitHub list
153,Focalboard,Productivity / Collaboration,"Trello, Notion, Asana alternative",https://github.com/mattermost-community/focalboard,To Review,Curated GitHub list
154,Planka,Productivity / Collaboration,Realtime Kanban board,https://github.com/plankanban/planka,To Review,Curated GitHub list
155,Leantime,Productivity / Collaboration,Project management for startups,https://github.com/Leantime/leantime,To Review,Curated GitHub list
156,Wekan,Productivity / Collaboration,Kanban board,https://github.com/wekan/wekan,To Review,Curated GitHub list
157,Taskcafe,Productivity / Collaboration,Kanban project management,https://github.com/JordanKnott/taskcafe,To Review,Curated GitHub list
158,Vikunja,Productivity / Collaboration,Task and project management,https://github.com/go-vikunja/vikunja,To Review,Curated GitHub list
159,Restyaboard,Productivity / Collaboration,Trello-like kanban board,https://github.com/RestyaPlatform/board,To Review,Curated GitHub list
160,Taskwarrior,Data / Analytics,Command-line task manager,https://github.com/GothenburgBitFactory/taskwarrior,To Review,Curated GitHub list
161,Super Productivity,Developer Tools,Personal productivity app,https://github.com/johannesjo/super-productivity,To Review,Curated GitHub list
162,Habitica,Data / Analytics,Gamified task manager,https://github.com/HabitRPG/habitica,To Review,Curated GitHub list
163,Huly,Productivity / Collaboration,Project management and collaboration,https://github.com/hcengineering/platform,To Review,Curated GitHub list
164,Mattermost,Developer Tools,Open-source Slack alternative,https://github.com/mattermost/mattermost,To Review,Curated GitHub list
165,Rocket.Chat,Productivity / Collaboration,Team communication platform,https://github.com/RocketChat/Rocket.Chat,To Review,Curated GitHub list
166,Zulip,Productivity / Collaboration,Team chat with topic threads,https://github.com/zulip/zulip,To Review,Curated GitHub list
167,Element Web,Productivity / Collaboration,Matrix-based secure chat,https://github.com/element-hq/element-web,To Review,Curated GitHub list
168,Matrix Synapse,DevOps / Infrastructure,Matrix homeserver,https://github.com/element-hq/synapse,To Review,Curated GitHub list
169,Jitsi Meet,Productivity / Collaboration,Video conferencing platform,https://github.com/jitsi/jitsi-meet,To Review,Curated GitHub list
170,BigBlueButton,Data / Analytics,Online learning video platform,https://github.com/bigbluebutton/bigbluebutton,To Review,Curated GitHub list
171,MiroTalk,Productivity / Collaboration,Video calls and meetings,https://github.com/miroslavpejic85/mirotalk,To Review,Curated GitHub list
172,LiveKit,DevOps / Infrastructure,Realtime audio/video infrastructure,https://github.com/livekit/livekit,To Review,Curated GitHub list
173,OpenVidu,Productivity / Collaboration,Video conferencing platform,https://github.com/OpenVidu/openvidu,To Review,Curated GitHub list
174,Nextcloud Talk,Productivity / Collaboration,Self-hosted calls and chat,https://github.com/nextcloud/spreed,To Review,Curated GitHub list
175,SimpleX Chat,Productivity / Collaboration,Private messenger,https://github.com/simplex-chat/simplex-chat,To Review,Curated GitHub list
176,Signal Desktop,Developer Tools,Secure messaging desktop app,https://github.com/signalapp/Signal-Desktop,To Review,Curated GitHub list
177,Briar,Developer Tools,Secure peer-to-peer messaging,https://github.com/briar/briar,To Review,Curated GitHub list
178,Tiledesk,Maps / Geo,Customer messaging platform,https://github.com/Tiledesk/tiledesk,To Review,Curated GitHub list
179,Erxes,Business / Commerce,Growth marketing and support platform,https://github.com/erxes/erxes,To Review,Curated GitHub list
180,Helpy,Business / Commerce,Customer support platform,https://github.com/helpyio/helpy,To Review,Curated GitHub list
181,UVdesk,Business / Commerce,Helpdesk platform,https://github.com/uvdesk/community-skeleton,To Review,Curated GitHub list
182,osTicket,Business / Commerce,Support ticket system,https://github.com/osTicket/osTicket,To Review,Curated GitHub list
183,OTOBO,Business / Commerce,Helpdesk ticket system,https://github.com/RotherOSS/otobo,To Review,Curated GitHub list
184,Request Tracker,Business / Commerce,Enterprise ticketing system,https://github.com/bestpractical/rt,To Review,Curated GitHub list
185,Peppermint,Developer Tools,Ticket management system,https://github.com/Peppermint-Lab/peppermint,To Review,Curated GitHub list
186,GitLab CE,DevOps / Infrastructure,DevOps and Git platform,https://github.com/gitlabhq/gitlabhq,To Review,Curated GitHub list
187,Gitea,Developer Tools,Lightweight Git hosting,https://github.com/go-gitea/gitea,To Review,Curated GitHub list
188,Forgejo,Developer Tools,Git hosting platform,https://github.com/forgejo/forgejo,To Review,Curated GitHub list
189,Gogs,Developer Tools,Self-hosted Git service,https://github.com/gogs/gogs,To Review,Curated GitHub list
190,Sourcegraph,Developer Tools,Code search and intelligence,https://github.com/sourcegraph/sourcegraph-public-snapshot,To Review,Curated GitHub list
191,Woodpecker CI,DevOps / Infrastructure,CI/CD engine,https://github.com/woodpecker-ci/woodpecker,To Review,Curated GitHub list
192,Drone CI,Developer Tools,Continuous integration platform,https://github.com/harness/drone,To Review,Curated GitHub list
193,Jenkins,DevOps / Infrastructure,Automation server,https://github.com/jenkinsci/jenkins,To Review,Curated GitHub list
194,Buildkite Agent,AI / ML,CI agent,https://github.com/buildkite/agent,To Review,Curated GitHub list
195,Tekton Pipelines,Data / Analytics,Kubernetes-native CI/CD,https://github.com/tektoncd/pipeline,To Review,Curated GitHub list
196,Argo CD,DevOps / Infrastructure,GitOps continuous delivery,https://github.com/argoproj/argo-cd,To Review,Curated GitHub list
197,Argo Workflows,DevOps / Infrastructure,Kubernetes workflows,https://github.com/argoproj/argo-workflows,To Review,Curated GitHub list
198,Flux CD,DevOps / Infrastructure,GitOps for Kubernetes,https://github.com/fluxcd/flux2,To Review,Curated GitHub list
199,Harbor,AI / ML,Container registry,https://github.com/goharbor/harbor,To Review,Curated GitHub list
200,Portainer,AI / ML,Container management UI,https://github.com/portainer/portainer,To Review,Curated GitHub list
201,Rancher,DevOps / Infrastructure,Kubernetes management,https://github.com/rancher/rancher,To Review,Curated GitHub list
202,Lens,DevOps / Infrastructure,Kubernetes IDE,https://github.com/lensapp/lens,To Review,Curated GitHub list
203,K9s,AI / ML,Kubernetes terminal UI,https://github.com/derailed/k9s,To Review,Curated GitHub list
204,Helm,DevOps / Infrastructure,Kubernetes package manager,https://github.com/helm/helm,To Review,Curated GitHub list
205,Kustomize,DevOps / Infrastructure,Kubernetes config customization,https://github.com/kubernetes-sigs/kustomize,To Review,Curated GitHub list
206,MinIO,DevOps / Infrastructure,Object storage server,https://github.com/minio/minio,To Review,Curated GitHub list
207,SeaweedFS,Self-hosted / Personal,Distributed file system,https://github.com/seaweedfs/seaweedfs,To Review,Curated GitHub list
208,Garage,DevOps / Infrastructure,Distributed object storage,https://github.com/deuxfleurs-org/garage,To Review,Curated GitHub list
209,Ceph,DevOps / Infrastructure,Distributed storage system,https://github.com/ceph/ceph,To Review,Curated GitHub list
210,Longhorn,DevOps / Infrastructure,Cloud-native distributed storage,https://github.com/longhorn/longhorn,To Review,Curated GitHub list
211,OpenEBS,AI / ML,Container attached storage,https://github.com/openebs/openebs,To Review,Curated GitHub list
212,Dragonfly,Data / Analytics,In-memory data store,https://github.com/dragonflydb/dragonfly,To Review,Curated GitHub list
213,Valkey,Data / Analytics,Redis-compatible data store,https://github.com/valkey-io/valkey,To Review,Curated GitHub list
214,NATS,DevOps / Infrastructure,Messaging system,https://github.com/nats-io/nats-server,To Review,Curated GitHub list
215,RabbitMQ Server,Data / Analytics,Message broker,https://github.com/rabbitmq/rabbitmq-server,To Review,Curated GitHub list
216,Affine,Productivity / Collaboration,Local-first Notion and Miro alternative,https://github.com/toeverything/AFFiNE,To Review,Curated GitHub list
217,Reactive Resume,AI / ML,Free open-source resume builder,https://github.com/AmruthPillai/Reactive-Resume,To Review,Curated GitHub list
218,Notifuse,AI / ML,Self-hosted Mailchimp and Brevo alternative,https://github.com/Notifuse/notifuse,To Review,Curated GitHub list
219,Open Archiver,AI / ML,Self-hosted email archiving and search,https://github.com/LogicLabs-OU/OpenArchiver,To Review,Curated GitHub list
220,useSend,Developer Tools,Open-source Resend and SendGrid alternative,https://github.com/usesend/useSend,To Review,Curated GitHub list
221,Cloudreve,DevOps / Infrastructure,Self-hosted cloud storage with multi-cloud support,https://github.com/cloudreve/Cloudreve,To Review,Curated GitHub list
222,LocalSend,AI / ML,AirDrop-style local file sharing,https://github.com/localsend/localsend,To Review,Curated GitHub list
223,Transfer.zip,Data / Analytics,Self-hosted WeTransfer alternative,https://github.com/robinkarlberg/transfer.zip-web,To Review,Curated GitHub list
224,Documenso,Developer Tools,Open-source DocuSign alternative,https://github.com/documenso/documenso,To Review,Curated GitHub list
225,DocuSeal,Developer Tools,Open-source document signing,https://github.com/docusealco/docuseal,To Review,Curated GitHub list
226,RSSHub,Self-hosted / Personal,Generate RSS feeds for almost anything,https://github.com/DIYgod/RSSHub,To Review,Curated GitHub list
227,AdGuard Home,Productivity / Collaboration,Network-wide ad and tracker blocker,https://github.com/AdguardTeam/AdGuardHome,To Review,Curated GitHub list
228,RepoFlow,DevOps / Infrastructure,Universal package registry and proxy manager,https://github.com/repoflow/repoflow,To Review,Curated GitHub list
229,VERT,Self-hosted / Personal,Local file converter powered by WebAssembly,https://github.com/VERT-sh/VERT,To Review,Curated GitHub list
230,Cockpit CMS,Developer Tools,Headless API-first CMS,https://github.com/Cockpit-HQ/Cockpit,To Review,Curated GitHub list
231,Invoice Ninja,Data / Analytics,"Invoicing, billing and payments platform",https://github.com/invoiceninja/invoiceninja,To Review,Curated GitHub list
232,Documize,Productivity / Collaboration,Lightweight documentation and knowledge base,https://github.com/documize/community,To Review,Curated GitHub list
233,Monica,Business / Commerce,Personal CRM,https://github.com/monicahq/monica,To Review,Curated GitHub list
234,OpenBlocks,Design / Frontend,Low-code internal tools builder,https://github.com/openblocks-dev/openblocks,To Review,Curated GitHub list
235,Formbricks,Business / Commerce,Open-source survey and feedback platform,https://github.com/formbricks/formbricks,To Review,Curated GitHub list
236,Browserless,Developer Tools,Headless browser automation platform,https://github.com/browserless/browserless,To Review,Curated GitHub list
237,Crawlee,Developer Tools,Web scraping and browser automation framework,https://github.com/apify/crawlee,To Review,Curated GitHub list
238,Playwright,Developer Tools,Browser automation and testing,https://github.com/microsoft/playwright,To Review,Curated GitHub list
239,Cypress,Developer Tools,End-to-end testing framework,https://github.com/cypress-io/cypress,To Review,Curated GitHub list
240,Storybook,Design / Frontend,UI component workshop,https://github.com/storybookjs/storybook,To Review,Curated GitHub list
241,Ladle,Design / Frontend,Fast React component development tool,https://github.com/tajo/ladle,To Review,Curated GitHub list
242,Chromatic CLI,Design / Frontend,Visual testing workflow tooling,https://github.com/chromaui/chromatic-cli,To Review,Curated GitHub list
243,Percy CLI,Developer Tools,Visual regression testing,https://github.com/percy/cli,To Review,Curated GitHub list
244,Backstage,Developer Tools,Developer portal platform,https://github.com/backstage/backstage,To Review,Curated GitHub list
245,Dagger,Data / Analytics,Programmable CI/CD pipelines,https://github.com/dagger/dagger,To Review,Curated GitHub list
246,Earthly,Design / Frontend,Build automation for CI/CD,https://github.com/earthly/earthly,To Review,Curated GitHub list
